Text,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
"Bought another pair of Nike shoes today, can't get enough of them!",User123,Twitter,#Nike,15,30,USA,2023,1,15,12
Just finished a great workout in my Nike gear. Feeling pumped!,CommuterX,Twitter,#Nike,5,10,Canada,2023,1,15,8
"Nike's new campaign is so inspiring, love their commitment to athletes.",FitnessFan,Instagram,#Nike,20,40,USA,2023,1,15,15
Purchased a Nike hoodie and it's the comfiest thing ever!,AdventureX,Facebook,#Nike,8,15,UK,2023,1,15,18
"Got my hands on the latest Nike Air Max, they look and feel amazing!",ChefCook,Instagram,#Nike,12,25,Australia,2023,1,15,19
"Considering trying out Nike's new running shoes, anyone tried them yet?",GratitudeNow,Twitter,#Nike,25,50,India,2023,1,16,9
Nike's store layout is always so clean and inviting.,RainyDays,Facebook,#Nike,10,20,Canada,2023,1,16,14
Planning to gift a Nike gift card for my friend's birthday.,MovieBuff,Instagram,#Nike,15,30,USA,2023,1,16,19
"Heard mixed reviews about Nike's latest collection, not sure if it's worth it.",DebateTalk,Twitter,#Nike,30,60,USA,2023,1,17,8
Wondering if Nike offers any sustainability initiatives in their production process.,BeachLover,Facebook,#Nike,18,35,Australia,2023,1,17,12
"Received my Nike order faster than expected, great job on the delivery!",BloggerX,Instagram,#Nike,22,45,USA,2023,1,17,15
"Wore my Nike sneakers for a whole day of walking, my feet are thanking me!",WellnessCheck,Twitter,#Nike,7,15,Canada,2023,1,18,10
Nike's customer service team was super helpful in resolving an issue with my order.,UrbanExplorer,Facebook,#Nike,12,25,UK,2023,1,18,14
Nike's marketing team always knows how to create buzz around their products.,FitJourney,Instagram,#Nike,28,55,USA,2023,1,18,18
"Disappointed with the durability of my Nike running shoes, started falling apart after a few months.",TechEnthusiast,Twitter,#Nike,15,30,India,2023,1,19,9
Bought a Nike shirt and the stitching came undone after just one wash.,Reflections,Facebook,#Nike,20,40,USA,2023,1,19,13
"Nike's prices keep going up, becoming unaffordable for many.",PetAdopter,Instagram,#Nike,15,30,Canada,2023,1,19,17
Had a bad experience with a rude staff member at a Nike store.,GamerX,Twitter,#Nike,18,35,UK,2023,1,20,0
"Ordered a Nike item online and it arrived damaged, poor packaging.",TechConference,Facebook,#Nike,25,50,USA,2023,1,20,11
"Nike's sizing is inconsistent, had to return multiple items due to fit issues.",WinterBlues,Instagram,#Nike,8,15,USA,2023,1,20,15
"Just hit a new personal record in my Nike running shoes, feels amazing!",AngryDebater,Twitter,#Nike,20,40,Canada,2023,2,20,9
"Disappointed with the durability of my Nike running shoes, started falling apart after a few months.",FearfulDreamer,Instagram,#Nike,15,30,USA,2023,2,20,21
Can't wait to hit the basketball court in my new Nike basketball shoes.,FarewellHeart,Facebook,#Nike,25,50,India,2023,2,21,14
"Nike's prices keep going up, becoming unaffordable for many.",AntiCorruption,Twitter,#Nike,18,35,UK,2023,2,21,18
Nike's collaboration with [celebrity/artist/athlete] is a game-changer.,NewParentJoy,Instagram,#Nike,30,60,UK,2023,2,22,10
Loving the vibrant colors of my new Nike workout leggings!,StandUpFan,Facebook,#Nike,22,45,Canada,2023,2,22,19
"My Nike shoes have lasted through countless workouts, incredible durability!",LoveSender,Twitter,#Nike,15,30,Australia,2023,2,23,8
Nike's store layout is always so clean and inviting.,PetAmuser,Instagram,#Nike,18,35,UK,2023,2,23,14
